Date,Link,OptionText
2026-03-31 14:48:34,https://www.linkedin.com/feed/update/urn:li:ugcPost:7444590684969283584,b)
2026-03-09 15:08:35,https://www.linkedin.com/feed/update/urn:li:ugcPost:7436631789655445504,5+ hours
2025-11-17 16:15:01,https://www.linkedin.com/feed/update/urn:li:ugcPost:7394609887172800512,Talk to people I trust
2025-10-28 02:09:42,https://www.linkedin.com/feed/update/urn:li:ugcPost:7386217186933067776,Relevant experience
2025-10-20 15:53:14,https://www.linkedin.com/feed/update/urn:li:ugcPost:7382389685827956736,Yes! it helps match fit
2025-09-29 17:55:54,https://www.linkedin.com/feed/update/urn:li:ugcPost:7375967680849330176,Prep me for interviews
2025-09-17 14:33:07,https://www.linkedin.com/feed/update/urn:li:ugcPost:7369899844347453440,It can miss the human side
2025-08-12 17:23:46,https://www.linkedin.com/feed/update/urn:li:ugcPost:7359000338332291072,"Yes, but I’m open to hybrid"
2025-08-04 18:58:07,https://www.linkedin.com/feed/update/urn:li:ugcPost:7353913451817136131,The roles you feel drawn to
2025-06-16 18:56:34,https://www.linkedin.com/feed/update/urn:li:ugcPost:7338232849549918208,Not sure I’m qualified
2025-06-10 15:16:12,https://www.linkedin.com/feed/update/urn:li:ugcPost:7337846740156342273,ChatGPT 🤖
2025-06-04 21:27:16,https://www.linkedin.com/feed/update/urn:li:ugcPost:7334914659646431232,My personality
2025-05-19 16:22:55,https://www.linkedin.com/feed/update/urn:li:ugcPost:7328067930380746757,A random convo with a stranger
2025-05-12 18:39:33,https://www.linkedin.com/feed/update/urn:li:ugcPost:7323924571458285568,"Too many options, no direction"
2025-04-14 18:09:32,https://www.linkedin.com/feed/update/urn:li:ugcPost:7316149798158393344,Unsure which career suits me
2025-03-24 19:34:32,https://www.linkedin.com/feed/update/urn:li:ugcPost:7309698948753969152,I kept my original surname
2025-03-24 17:15:25,https://www.linkedin.com/feed/update/urn:li:ugcPost:7309959625871663104,Your LinkedIn profile activity
2025-03-10 20:17:59,https://www.linkedin.com/feed/update/urn:li:ugcPost:7303901535183273985,High turnover with no reasons
2025-03-10 17:32:53,https://www.linkedin.com/feed/update/urn:li:ugcPost:7303462679199834112,Thank-you email within 24h
2025-03-06 19:05:40,https://www.linkedin.com/feed/update/urn:li:ugcPost:7303445425229910016,No
2025-03-03 22:30:25,https://www.linkedin.com/feed/update/urn:li:ugcPost:7301365466990546944,"Yes, I showcase my personality"
2025-02-19 15:22:38,https://www.linkedin.com/feed/update/urn:li:ugcPost:7297648492221485056,More 💪
2025-02-17 17:08:40,https://www.linkedin.com/feed/update/urn:li:ugcPost:7295075627324338176,Too much AI screening
2025-02-13 19:03:34,https://www.linkedin.com/feed/update/urn:li:ugcPost:7295866460764098560,Yes
2025-02-10 18:05:27,https://www.linkedin.com/feed/update/urn:li:ugcPost:7292576260818399233,Roles that challenge you
2025-01-22 22:04:28,https://www.linkedin.com/feed/update/urn:li:ugcPost:7287141738186481664,Throughout the entire process
2025-01-10 18:21:32,https://www.linkedin.com/feed/update/urn:li:ugcPost:7274831791167815681,Learn new leadership skills
2025-01-09 17:27:08,https://www.linkedin.com/feed/update/urn:li:ugcPost:7278591915908878336,Only if the job requires it
2025-01-01 20:43:05,https://www.linkedin.com/feed/update/urn:li:ugcPost:7269431786567266306,Writing your resume info out
2024-12-30 06:04:08,https://www.linkedin.com/feed/update/urn:li:ugcPost:7274413688449622016,No
2024-12-09 19:19:12,https://www.linkedin.com/feed/update/urn:li:ugcPost:7271862370501615616,Stay motivated after rejection
2024-11-21 01:37:48,https://www.linkedin.com/feed/update/urn:li:ugcPost:7264674429966700544,A culture where you fit in
2024-11-03 08:53:11,https://www.linkedin.com/feed/update/urn:li:ugcPost:7253843367694917632,Customizing my resume
2024-10-26 14:25:47,https://www.linkedin.com/feed/update/urn:li:ugcPost:7253842191612006400,10-30 minutes
