Date,ShareLink,ShareCommentary,SharedUrl,MediaUrl,Visibility
2026-04-02 22:25:49,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7445597382114926592,"When a founder tells me their content feels like a mess, I usually hear one of four things.""
""""
""My website isn't working. My social platforms are all over the place. I'm overwhelmed with my marketing. I don't know where to start.""
""""
""These sound like four different problems. They're usually the same one.""
""""
""This is a content foundation problem.""
""""
""Most founders start with production. They write the website, set up the Instagram, start a newsletter. They're creating content before they've built the structure that makes content work. So everything feels disconnected, because it is.""
""""
""A content foundation isn't complicated. It's a small set of decisions you make once that make every content decision after it easier. Who are you talking to, specifically. What do you want them to think, feel, and do. What does your brand actually sound like in writing. How does your content connect to your business goals.""
""""
""Without that layer, you're not running a content strategy. You're just producing.""
""""
""The good news: you probably already know the answers. They just haven't been written down and handed to the work yet.""
""""
""If any of those four things sound familiar, DM me so we can build your foundation.","","",MEMBER_NETWORK
2026-04-02 22:24:45,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7445597115948511232,"A founder sent me her pitch deck. I read it twice and still couldn't find the ask.""
""""
""She was looking for brand partners for a new venture. The information was all there. Her background, her vision, her audience, her credentials. Slide after slide of it.""
""""
""But by the time I got to the end I couldn't tell you what she was actually offering or why a brand partner should care.""
""""
""The deck wasn't missing information. It was missing a story.""
""""
""A good pitch deck isn't a comprehensive document. It's a sequence. Each slide earns the next one. The reader should feel pulled forward, not buried. When everything is included and nothing is edited out, the most important things disappear into the noise.""
""""
""We restructured the flow, cut what was redundant, and removed references that weren't serving the pitch. The ask became obvious. The story went from A to Z without detours.""
""""
""She had everything she needed. It just wasn't in the right order.""
""""
""If your deck covers everything but isn't landing, the problem probably isn't what's missing. It's what needs to come out.","","",MEMBER_NETWORK
2026-04-02 22:23:28,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7445596796141260800,"This one question changed the entire direction of a website project. ""
""""
""I was talking to a founder yesterday about a website refresh. She runs a marketing agency.""
""""
""I asked who she was trying to reach. She said ""luxury and affluent companies.""""
""""
""I pushed. Are there specific kinds of businesses within that world that you want to be targeting, ones you've started attracting or really want to?""
""""
""She paused. Then: ""Actually yes. Hospitality groups, venues, and production houses. And I've moved away from solopreneurs entirely.""""
""""
""That's a completely different website than the one we would have written sixty seconds earlier.""
""""
""She knew exactly who she wanted. She just hadn't been asked. And if I had gone straight to writing, her new site would have spoken to everyone in the luxury space and stood out to no one.""
""""
""This is what I mean when I say most website problems aren't writing problems. They're clarity problems that show up in the writing.""
""""
""Before you refresh your copy, can you answer this: not broadly who you serve, but specifically who you want more of right now?","","",MEMBER_NETWORK
2026-04-02 22:22:29,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7445596548001841153,"I was hired to write quiz results copy for a job search startup. That was the brief.""
""""
""Two and a half years later I had built the entire content operation.""
""""
""Here's how it actually happened.""
""""
""The first thing I did was audit what existed. I asked who they were talking to, what they were trying to say, and why it mattered. What I found was a product that needed words but had no foundation to put them on. No voice. No strategy. No system.""
""""
""So I built one. Voice and tone guide first. Then a messaging framework and audience positioning. Then we had something to work from.""
""""
""The scope kept expanding the way it does at startups. MVP launch meant organic social, a paid ad campaign, and email. Then a blog. Then a LinkedIn newsletter.""
""""
""Then we started automating. AI-powered resume builder. Personalized outreach messaging at scale. Copy that had to work inside a product for thousands of different users without sounding like it was written by a machine.""
""""
""By the end it was infrastructure. A system that knew what to say, to whom, in what voice, across every surface. Built to scale as the company grew.""
""""
""Where are you in this? Do you have the foundation, or are you still writing copy ad hoc?","","",MEMBER_NETWORK
2026-03-19 14:19:29,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7440401563149492225,"A single idea can live in ten places. But it often only lives in one. That's a waste.""
""""
""Write a LinkedIn post. Get traction. Archive it. Start over next week.""
""""
""Call it a flywheel, a repurposing system, a content engine. The name doesn't matter. The idea is the same: one piece of content is never just one piece of content.""
""""
""When something works, redistribute it.""
""""
""A LinkedIn post that got real engagement is a section of your next newsletter. That newsletter section is a talking point for your next podcast appearance. That talking point, sharpened and expanded, is a page on your website. That page, stripped back to its core idea, is three more LinkedIn posts.""
""""
""One idea. Multiple surfaces. Compounding reach without compounding effort.""
""""
""The founders who seem to be everywhere are thinking in systems. They know a good idea doesn't expire after one post. It just needs a new entry point for a different audience.""
""""
""The question isn't ""what should I post this week."" It's ""what have I already said that's worth saying again, somewhere else, to someone new.""""
""""
""What's the best thing you've written in the last six months that most of your audience never saw?","","",MEMBER_NETWORK
2026-03-19 14:16:37,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7440400842895101952,"The best feedback I've ever gotten came as an unsolicited email before I'd even sent the invoice.""
""""
""I got hired to help a client's client find her brand voice. I ran the discovery calls, asked the questions, listened for the patterns. The client who hired me was in the room for all of it, watching the process unfold.""
""""
""When I delivered the brand voice and tone system, the room got quiet for a second.""
""""
""Then the email came.""
""""
""Not a reply to an invoice. Not a ""thanks, looks good."" A real email. The kind where someone is typing faster than they're thinking. She wanted me to build one of these for every client in her portfolio. And one for her own business too.""
""""
""I was floored. And then I was confused.""
""""
""Because I assumed she already had one.""
""""
""She had a strong voice across her brand. It just lived in her head.""
""""
""Once it was written down, her writers could actually use it. The system went straight to her team for this specific client and the copy got noticeably better, fast.""
""""
""That's the thing about brand voice. It doesn't feel urgent until someone writes it down and hands it to the people doing the work. Then it feels like the thing you should have built first.""
""""
""If your brand voice lives in your head, it dies the moment someone else writes a word on your behalf. Do yourself and your team a favor and write it down somewhere so others can use it.","","",MEMBER_NETWORK
2026-03-19 14:14:46,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7440400376216051712,"Writing my own messaging was the hardest brief I've ever taken on.""
""""
""I had too much to work with. Nonprofits. Policy work. UC Berkeley. Tech startups. UX copy. Content systems. AI automation. A career that made complete sense to me and looked like a different résumé every time someone else read it.""
""""
""So I did the only thing that actually works. I talked about it. Over and over again. To other founders, to clients, to friends, to my family. I said it differently every time and watched what landed. What made someone nod. What made someone ask a follow-up question. What made my mom say ""oh, so you do X"" in a way that told me I'd finally gotten it right. (A big thanks to all of these folks who let me go on and on ad nauseam. 😅) ""
""""
""After enough conversations, the noise fell away and one sentence was left standing. Six words. Took about six months of talking to get there.""
""""
""Messaging doesn't get clear at a desk. It gets clear out loud.""
""""
""Say it to ten different people and listen for the version that makes them lean in.""
""""
""That's your sentence.","","",MEMBER_NETWORK
2026-03-19 14:08:54,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7440398902626992128,"Your homepage was written by the person who knows your product best. That's probably why it isn't converting.""
""""
""Before: A SaaS homepage that explained the product in four paragraphs and buried the value prop on paragraph three.""
""""
""After: A single line above the fold that told the exact customer precisely what changed when they used it.""
""""
""The rewrite took one week. The before/after wasn't dramatic on the surface. Same product. Same features. Completely different entry point.""
""""
""The work isn't inventing something new. It's finding the one true thing that was already there and putting it where people can see it.""
""""
""Proximity is often the problem. When you know your product inside out, you write for someone who already understands it. But a stranger landing on your homepage has three seconds and zero context. They need to see themselves in it immediately or they're gone.""
""""
""Sometimes you need someone who comes in not knowing anything, and notices exactly what's missing.""
""""
""What does your homepage say above the fold right now?","","",MEMBER_NETWORK
2026-03-19 14:06:45,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7440398360408121344,"Confusing copy isn't just an aesthetic problem. It's a revenue problem.""
""""
""When a visitor lands on your site and can't immediately answer ""what does this company do and is it for me,"" they leave. Not because they weren't interested. Because you made them work too hard to find out.""
""""
""Here's what unclear messaging actually costs:""
""""
""Higher bounce rates on pages you're paying to drive traffic to. Sales calls with people who weren't a fit to begin with. A longer sales cycle because prospects don't arrive pre-convinced.""
""""
""The fix isn't usually a full rebrand. It's almost always a positioning problem upstream of the copy. Once that's clear, the words get easier.""
""""
""Clarity isn't a nice-to-have. It's the thing your conversion rate runs on.","","",MEMBER_NETWORK
2026-03-19 14:05:09,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7440397960430903296,"Somewhere between the first draft and final approval, the user disappears.""
""""
""The draft goes into review. Someone asks for more context. Someone else wants to add a qualifier. A third person flags that it doesn't mention the thing they worked really hard on. By the time it's approved, the copy covers everything and speaks to no one.""
""""
""That's copy written for the room it was approved in, not the person it's supposed to reach.""
""""
""Copy written for internal approval sounds comprehensive, defensible, and completely forgettable. Copy written for the user stops them mid-scroll.""
""""
""The goal isn't to throw out the business objective. It's to reach it by a different route. When copy speaks directly to what a user actually needs, fears, or wants, it converts. And conversion is the business goal.""
""""
""Writing for one person specifically is what makes it work for many.""
""""
""The next time you're reviewing copy, ask yourself: is this being softened because it's clearer, or because it's safer?""
""""
""Clearer wins. Every time.","","",MEMBER_NETWORK
